,Format,Title,Series,Author,Type,Genre,Read?,Year Finished,Rating,Date Added,Notes
239,Paperback,Sovay,,Celia Rees,Fiction,Historical Fiction,yes,2014,4,01/01/2014,
240,eBook,Doctor Faustus,,Christopher Marlowe,Fiction,Classic - Gothic,yes,,3.5,01/12/2013,
241,Hardback & eBook,Jane Eyre ,,Charlotte Bronte,Fiction,Classic - Romance,yes,2014,5,01/12/2013,as 2 books. eBook Dec 2013
242,eBook,The Legend of Sleepy Hollow,,Washington Irving,Fiction,Classic - Gothic,no,,,01/12/2013,
243,eBook,A Tale Of Two Cities,,Charles Dickens,Fiction,Classic - Gothic,no,,,01/01/2013,
244,eBook,Alice in Wonderland,,Lewis Carroll,Fiction,Classic,yes,,,01/01/2013,
245,eBook,Great Expectations,,Charles Dickens,Fiction,Classic - Gothic,no,,,01/01/2013,
246,eBook,Little Women,,Louisa May Alcott,Fiction,Classic - Romance,no,,,01/01/2013,
247,eBook,Much ado about nothing,,William Shakespeare,Fiction,Play,yes,,,01/01/2013,
248,Paperback & eBook,The Book Thief,,Markus Zusak,Fiction,Historical Fiction,yes,2017,5,01/01/2013,
249,eBook,The Count Of Monte Cristo,,Pere Alexandre Dumas,Fiction,Classic - Romance,no,,,01/01/2013,
250,Paperback,The Great Gatsby,,F Scott Fitzgerald,Fiction,Classic - Romance,yes,2013,4,01/01/2013,
251,eBook,The Picture Of Dorian Gray,,Oscar Wilde,Fiction,Classic - Gothic,no,,,01/01/2013,
252,eBook,The Strange Case Of Dr. Jekyll And Mr. Hyde,,Robert Louis Stevenson,Fiction,Classic - Gothic,yes,,,01/01/2013,
253,eBook,The Works of Edgar Allen Poe,,Edgar Allen Poe,Fiction,Classic - Gothic,no,,,01/01/2013,
254,eBook,A Christmas Carol,,Charles Dickens,Fiction,Classic - Gothic,no,,,01/12/2012,
255,Paperback,A Beautiful Composition of  Broken,,R H Sin,Non-Fiction,Poetry,yes,2018,3,01/01/2012,
256,Hardback & eBook,Frankenstein,,Mary Shelly,Fiction,Classic - Gothic,yes,,5,01/01/2012,
257,Paperback,Medea and Other Plays,,Euripides,Fiction,Mythology / Folklore,yes,,,01/01/2012,school
258,Paperback,Rebecca,,Daphne De Maurier,Fiction,Classic - Romance,yes,2012,5,01/01/2012,
259,Paperback,The Aeneid,,Virgil,Fiction,Mythology / Folklore,yes,2012,3,01/01/2012,school copy
260,Paperback,The Greek Myths,,Robin Waterfield,Fiction,Mythology / Folklore,no,,,01/01/2012,
261,Paperback,The Bloody Chamber,,Angela Carter,Fiction,Retelling,yes,2011,3,01/01/2012,School book
262,Paperback,The Catcher in the Rye,,J D Salinger,Fiction,Classic,yes,2013,5,01/01/2012,
263,Paperback,The Handmaid's Tale,,Margaret Atwood,Fiction,Science Fiction,yes,2012,4,01/01/2012,read in 2012 & listened in 2020
264,Paperback,The Host,,Stephanie Meyer,Fiction,Science Fiction,yes,2012,5,01/01/2012,read in 2012 & listened in 2020
265,Paperback,The Three Theban Plays,,Sophocles,Fiction,Mythology / Folklore,yes,,,01/01/2012,school
266,Paperback,The Power,,Naomi Alderman,Fiction,Science Fiction,yes,2012,3.5,01/01/2012,read in 2012 & listened in 2020
267,Paperback,Sophie's World,,Jostein Gaarder,Fiction,Mystery,yes,2012,3,01/01/2010,
268,Paperback,Graceling,,Kristin Cashore,Fiction,Fantasy,no,,,01/12/2007,
269,Paperback,Tender is the Night,,F Scott Fitzgerald,Fiction,Classic - Romance,no,,,01/12/2007,
270,Paperback,The Beautiful and Damned,,F Scott Fitzgerald,Fiction,Classic - Romance,no,,,01/12/2007,
271,Hardback & eBook,The Wonderful Wizard of Oz,,L Frank Baum,Fiction,Classic,yes,2007,5,01/12/2007,
272,Paperback,To Kill a Mockingbird,,Harper Lee,Fiction,Classic,no,,,01/12/2007,
273,Hardback,Vampires (Short Stories inc Carmilla),,Watkins Publishing,Fiction,Classic - Gothic,no,,,01/12/2007,
274,Paperback,Wicked,,Gregory Maguire,Fiction,Fantasy,no,,,01/12/2007,Christmas gift
275,Paperback,Witch Child,,Celia Rees,Fiction,Fantasy,no,,,01/12/2007,
276,Hardback,A Streetcar Named Desire,,Tenesee Williams,Fiction,Classic,yes,2010,,01/01/2010,
277,Paperback & Audiobook,"Eat, Pray, Love",,Elizabeth Gilbert,Non-Fiction,Biography / Memoir,yes,2016,4,03/08/2016,
278,Paperback & Audiobook,Mythos,,Stephen Fry,Fiction,Mythology / Folklore,no,,,24/01/2021,
